variable,label_2025_or_trended,in_2019,in_2021,in_2023,in_2025,in_trended,trended_nm_2019,trended_nm_2021,trended_nm_2023,in_2025_catalogue
Age,Age,0,1,1,0,1,100,100,100,0
AgeGroups,Age cohort (4 group),1,0,0,0,0,,,,0
AgeGroups3,Age - 3 categories,0,0,1,0,1,100,100,100,0
AgeGroups4,Age cohort (4 group),0,1,0,0,0,,,,0
AgeGroups5,Age - 5 categories,0,0,1,0,1,100,100,100,0
COUNTRYNEW,Country Name,0,0,0,1,0,,,,1
COUNTRY_ISO2,Country ISO alpha-2 code,0,0,1,1,1,100,100,100,0
COUNTRY_ISO3,Country ISO alpha-3 code,0,0,1,1,1,100,100,100,1
ChildrenInHousehold,Children Under 15,1,1,0,0,1,100,100,100,0
Country,Country Name,0,1,1,0,1,100,100,100,0
CountryIncomeLevel2019,World Bank Country Income Classification corresponding to 2019 data,0,1,0,0,0,,,,0
CountryIncomeLevel2021,World Bank Country Income Classification corresponding to 2021 data,0,1,0,0,0,,,,0
CountryIncomeLevel2023,World Bank Income Categories (2023-24 definiton),0,0,1,0,1,100,100,100,0
DEGURBA,Degree of Urbanisation,0,0,0,1,0,,,,1
EMP8B,Primary Occupation/Job Title (Coded Response),1,0,0,0,0,,,,0
EMP_2010,Employment Status,1,1,1,1,1,100,97,100,1
EMP_FTEMP,Employed Full Time for an Employer Index (workforce),1,0,0,0,0,,,,0
EMP_FTEMP_POP,Payroll to Population Index (P2P),1,0,0,0,0,,,,0
EMP_LFPR,Labor Force Participation Index,1,0,0,0,0,,,,0
EMP_UNDER,Underemployment Index,1,0,0,0,0,,,,0
EMP_UNEMP,Unemployment Index,1,0,0,0,0,,,,0
EMP_WORK_HOURS,Total Number of Hours Work Per Week,1,0,0,0,0,,,,0
Education,Education Level,1,1,1,0,1,100,100,100,0
Experienced.Index,Experienced Index,1,0,0,0,0,,,,0
FIELD_DATE,Study Completion Date,1,0,0,1,0,,,,0
Gender,Gender,0,1,1,0,1,100,100,100,0
GlobalRegion,Global region respondent lives in,0,1,1,0,1,100,100,100,0
HHSIZE,Total Number Living in Household for Per Capita Income,0,0,0,1,0,,,,0
HHWEIGHT2,hhweight2,0,0,0,1,0,,,,0
HouseholdSize,Household SIze,1,1,0,0,1,100,100,100,0
INCOME_5,Per Capita Income Quintiles,1,1,1,1,1,99,100,100,1
IncomeFeelings,Feelings About Household Income,1,1,0,0,0,,,,0
L1,"When Hear The Word Risk, Think More About Opportunity or Danger",1,0,0,0,0,,,,0
L10,Wear a Seatbelt in a Motorized Vehicle When One is Available,1,0,0,0,0,,,,0
L11,Able to Swim Without Assistance,1,0,0,0,0,,,,0
L12,"10% is Bigger, Smaller or the Same as 1 out of 10",1,0,0,0,0,,,,0
L13A,Look to Friends or Family for Food Safety Information,1,0,0,0,0,,,,0
L13B,Look to Medical Professionals for Food Safety Information,1,0,0,0,0,,,,0
L13C,"Look to Newspapers, Television, or Radio for Food Safety Information",1,0,0,0,0,,,,0
L13D,Look to Internet/Social Media for Food Safety Information,1,0,0,0,0,,,,0
L13E,Look to (Food Safety Authority) for Food Safety Information,1,0,0,0,0,,,,0
L13F,Look to Packaging or Label on Food for Food Safety Information,1,0,0,0,0,,,,0
L13G,Look to a Famous Person for Food Safety Information,1,0,0,0,0,,,,0
L13H,Look to Local Religious Leaders for Food Safety Information,1,0,0,0,0,,,,0
L14,Trust Most to Provide Information About Food Safety,1,0,0,0,0,,,,0
L15,Government Should Require Businesses to Adopt Safety Procedures and Rules,1,0,0,0,0,,,,0
L16A,Government Does a Good Job Ensuring the Food You Buy is Safe,1,0,0,0,0,,,,0
L16B,Government Does a Good Job Ensuring the Water You Drink is Safe,1,0,0,0,0,,,,0
L16C,Government Does a Good Job Ensuring the Powerlines in the City or Area Where You Live are Safe,1,0,0,0,0,,,,0
L17A,How Likely a Neighbor Would be to Return a Small Bag of Great Financial Value to You if Found,1,0,0,0,0,,,,0
L17B,How Likely a Stranger Would be to Return a Small Bag of Great Financial Value to You if Found,1,0,0,0,0,,,,0
L17C,How Likely the Police Would be to Return a Small Bag of Great Financial Value to You if Found,1,0,0,0,0,,,,0
L18,How Likely to be Injured While Working in Next Two Years,1,0,0,0,0,,,,0
L19,Ever Been Seriously Injured While Working,1,0,0,0,0,,,,0
L2,"Feel More Safe, Less Safe or About as Safe Compared to Five Years Ago",1,0,0,0,0,,,,0
L20A,Risk to Personal Safety While Working: Operating Equipment or Heavy Machinery,1,0,0,0,0,,,,0
L20B,Risk to Personal Safety While Working: Fire,1,0,0,0,0,,,,0
L20C,Risk to Personal Safety While Working: Exposure to Chemical or Biological Substances,1,0,0,0,0,,,,0
L20D,Risk to Personal Safety While Working: Physical Harassment or Violence,1,0,0,0,0,,,,0
L20E,Risk to Personal Safety While Working: Tripping or Falling,1,0,0,0,0,,,,0
L21A,Experienced Injury or Harm While Working in Past Two Years: Operating Equipment or Heavy Machinery,1,0,0,0,0,,,,0
L21B,Experienced Injury or Harm While Working in Past Two Years: Fire,1,0,0,0,0,,,,0
L21C,Experienced Injury or Harm While Working in Past Two Years: Exposure to Chemicals or Biological Substances,1,0,0,0,0,,,,0
L21D,Experienced Injury or Harm While Working in Past Two Years: Physical Harassment or Violence,1,0,0,0,0,,,,0
L21E,Experienced Injury or Harm While Working in Past Two Years: Tripping or Falling,1,0,0,0,0,,,,0
L22,Free To Report Safety Problems To Employer Without Fear of Punishment,1,0,0,0,0,,,,0
L23,Who is Most Responsible for Your Safety While Working Other Than Yourself,1,0,0,0,0,,,,0
L24A,Care About Your Safety While Working: Your Co-workers,1,0,0,0,0,,,,0
L24B,Care About Your Safety While Working: Your Boss or Supervisor,1,0,0,0,0,,,,0
L24C,Care About Your Safety While Working: The Trade or Labour Union,1,0,0,0,0,,,,0
L25,Safety Rules at Work Are Good or Make Job More Difficult,1,0,0,0,0,,,,0
L26,"Used Internet, Including Social Media, in Past 30 Days",1,0,0,0,0,,,,0
L27A,Worry When Using the Internet or Social Media: Online Bullying,1,0,0,0,0,,,,0
L27B,Worry When Using the Internet or Social Media: Receiving False Information,1,0,0,0,0,,,,0
L27C,Worry When Using the Internet or Social Media: Fraud,1,0,0,0,0,,,,0
L3_A,Greatest Source of Risk to Safety in Your Daily Life (Coded Response),1,0,0,0,0,,,,0
L3_B,Another Major Source of Risk to Safety In Your Daily Life (Coded Response),1,0,0,0,0,,,,0
L4A,Help or Harm People in Country in Next 20 Years: Genetically-Modified Food,1,0,0,0,0,,,,0
L4B,Help or Harm People in Country in Next 20 Years: Use of Nuclear Power for Electricity,1,0,0,0,0,,,,0
L4C,Help or Harm People in Country in Next 20 Years: Artificial Intelligence,1,0,0,0,0,,,,0
L5,Climate Change a Threat to People in Country in Next 20 Years,1,0,0,0,0,,,,0
L6A,Worried Food You Eat Could Cause You Serious Harm,1,0,0,0,0,,,,0
L6B,Worried Water You Drink Could Cause You Serious Harm,1,0,0,0,0,,,,0
L6C,Worried Violent Crime Could Cause You Serious Harm,1,0,0,0,0,,,,0
L6D,Worried Severe Weather Events Could Cause You Serious Harm,1,0,0,0,0,,,,0
L6E,Worried Electrical Power Lines Could Cause You Serious Harm,1,0,0,0,0,,,,0
L6F,Worked Household Appliances Could Cause You Serious Harm,1,0,0,0,0,,,,0
L6G,Worried Mental Health Issues Could Cause You Serious Harm,1,0,0,0,0,,,,0
L7A,How Likely Food You Eat Could Cause you Serious Harm in Next Two Years,1,0,0,0,0,,,,0
L7B,How Likely Water You Drink Could Cause You Serious Harm in Next Two Years,1,0,0,0,0,,,,0
L7C,How Likely Violent Crime Could Cause You Serious Harm in Next Two Years,1,0,0,0,0,,,,0
L7D,How Likely Severe Weather Events Could Cause You Serious Harm in Next Two Years,1,0,0,0,0,,,,0
L7E,How Likely Electrical Power Lines Could Cause You Serious Harm in Next Two Years,1,0,0,0,0,,,,0
L7F,How Likely Household Appliances Could Cause You Serious Harm in Next Two Years,1,0,0,0,0,,,,0
L7G,How Likely Mental Health Issues Could Cause You Serious Harm in Next Two Years,1,0,0,0,0,,,,0
L8A,Experienced Serious Harm From Eating Food in Past Two Years,1,0,0,0,0,,,,0
L8B,Experienced Serious Harm From Drinking Water in Past Two Years,1,0,0,0,0,,,,0
L8C,Experienced Serious Harm From Violent Crime in Past Two Years,1,0,0,0,0,,,,0
L8D,Experienced Serious Harm From Severe Weather Events in Past Two Years,1,0,0,0,0,,,,0
L8E,Experienced Serious Harm From Electrical Power Lines in Past Two Years,1,0,0,0,0,,,,0
L8F,Experienced Serious Harm From Household Appliances in Past Two Years,1,0,0,0,0,,,,0
L8G,Experienced Serious Harm From Mental Health Issues in Past Two Years,1,0,0,0,0,,,,0
L9A,How Likely You Are to Be in a Traffic Accident in Next Two Years,1,0,0,0,0,,,,0
L9B,How Likely You Are to Be Physically Attacked by Someone in Next Two Years,1,0,0,0,0,,,,0
L9C,How Likely You Are to Be in an Airplane Accident in Next Two Years,1,0,0,0,0,,,,0
L9D,How Likely You Are to Drown in Next Two Years,1,0,0,0,0,,,,0
L9E,How Likely You Are to be Struck by Lightning in Next Two Years,1,0,0,0,0,,,,0
MODE,Mode,0,0,0,1,0,,,,0
PROJWT,"Population projection weight, applied within year only (time-series or single year analysis)",0,0,1,1,1,100,100,100,1
PROJWT_2019,Projection weight to be used for multicountry analysis for 2019 data ONLY,0,1,0,0,0,,,,0
PROJWT_2021,Projection weight to be used for multicountry analysis for 2021 data ONLY,0,1,0,0,0,,,,0
REG2_GLOBAL,Region 2 Global,1,1,0,0,0,,,,0
REGION1_KAZ,Region 1 Kazakhstan,0,1,0,0,1,1,1,1,0
REGION1_NOR,Region 1 Norway,0,1,0,0,0,,,,0
REGION1_PAN,Region 1 Panama,0,1,0,0,1,1,0,1,0
REGION1_PHL,Region 1 Philippines,0,1,0,0,1,1,1,1,0
REGION2_AFG,Region2 Afghanistan,1,0,0,0,1,1,1,1,0
REGION2_ALB,Region 2 Albania,1,0,0,0,1,1,1,1,0
REGION2_ARG,Region 2 Argentina,1,0,0,0,1,1,1,1,0
REGION2_ARM,Region 2 Armenia,1,0,0,0,1,1,1,1,0
REGION2_AZE,Region 2 Azerbaijan,0,1,0,0,1,1,0,1,0
REGION2_BEN,Region 2 Benin,1,0,0,0,1,1,1,1,0
REGION2_BFA,Region 2 Burkina Faso,1,0,0,0,1,1,1,1,0
REGION2_BGR,Region 2 Bulgaria,1,0,0,0,1,1,1,1,0
REGION2_BIH,Region 2 Bosnia,1,0,0,0,1,0,1,1,0
REGION2_BLR,Region2 Belarus,0,1,0,0,0,,,,0
REGION2_BOL,Region 2 Bolivia,1,0,0,0,1,1,1,1,0
REGION2_BRA,Region 2 Brazil,1,0,0,0,1,1,1,1,0
REGION2_BWA,Region 2 Botswana,0,1,0,0,1,1,0,1,0
REGION2_CAM,Region 2 Cameroon,1,0,0,0,1,1,1,1,0
REGION2_CAN,Region 2 Canada,1,0,0,0,1,1,1,1,0
REGION2_CHE,Region 2 Switzerland,0,1,0,0,1,1,1,1,0
REGION2_CHL,Region 2 Chile,0,1,0,0,1,1,1,1,0
REGION2_CHN,Region 2 China,0,1,0,0,1,2,3,2,0
REGION2_CIV,Region 2 Ivory Coast,1,0,0,0,1,1,1,1,0
REGION2_COL,Region2 Colombia,1,0,0,0,1,1,1,1,0
REGION2_CRI,Region 2 Costa Rica,0,1,0,0,0,,,,0
REGION2_CZE,Region 2 Czech Republic,1,0,0,0,1,0,1,1,0
REGION2_DNK,Region2 Denmark,1,0,0,0,1,1,1,1,0
REGION2_DOM,Region2 Dominican Republic,1,0,0,0,1,1,1,1,0
REGION2_DZA,Region 2 Algeria,1,0,0,0,1,1,1,1,0
REGION2_ECU,Region 2 Ecuador,1,0,0,0,1,1,1,1,0
REGION2_EGY,Region 2 Egypt,1,0,0,0,1,1,1,1,0
REGION2_ESP,Region 2 Spain,1,0,0,0,1,1,1,1,0
REGION2_EST,Region 2 Estonia,1,0,0,0,1,1,1,1,0
REGION2_GEO,Region2 Georgia,0,1,0,0,1,1,1,1,0
REGION2_GMB,Region 2 Gambia,0,1,0,0,1,1,0,1,0
REGION2_GTM,Region 2 Guatemala,0,1,0,0,1,1,0,1,0
REGION2_GUI,Region 2 Guinea,1,0,0,0,1,1,1,1,0
REGION2_HND,REGION 2 Honduras,1,0,0,0,1,1,1,1,0
REGION2_HRV,Region 2 Croatia,1,0,0,0,1,1,1,1,0
REGION2_HUN,Region 2 Hungary,1,0,0,0,1,1,1,1,0
REGION2_IDN,Region2 Indonesia,1,0,0,0,1,1,1,1,0
REGION2_IND,Region 2 India,1,0,0,0,1,2,2,2,0
REGION2_IRL,Region 2 Ireland,1,0,0,0,1,1,1,1,0
REGION2_IRN,Region 2 Iran,1,0,0,0,1,1,1,1,0
REGION2_ITA,Region 2 Italy,1,0,0,0,1,1,1,1,0
REGION2_KAZ,Region 2 Kazakhstan,1,0,0,0,1,1,1,1,0
REGION2_KEN,Region 2 Kenya,1,0,0,0,1,1,1,1,0
REGION2_KGZ,Region 2 Kyrgyzstan,1,0,0,0,1,1,1,1,0
REGION2_KHM,Region 2 Cambodia,1,0,0,0,1,1,1,1,0
REGION2_KOS,Region 2 Kosovo,1,0,0,0,1,1,1,1,0
REGION2_LAO,Region 2 Laos,1,0,0,0,1,1,1,1,0
REGION2_LBN,Region 2 Lebanon,0,1,0,0,0,,,,0
REGION2_MDA,Region2 Moldova,1,0,0,0,1,1,1,1,0
REGION2_MDG,Region 2 Madagascar,0,1,0,0,1,1,0,1,0
REGION2_MEX,Region 2 Mexico,1,0,0,0,1,1,1,1,0
REGION2_MKD,Region 2 Macedonia,1,0,0,0,1,1,1,1,0
REGION2_MLI,Region 2 Mali,1,0,0,0,1,1,1,1,0
REGION2_MLW,Region 2 Malawi,0,1,0,0,1,1,0,1,0
REGION2_MNE,Region 2 Montenegro,0,1,0,0,1,1,0,1,0
REGION2_MNG,Region 2 Mongolia,1,0,0,0,1,1,1,1,0
REGION2_MOZ,Region 2 Mozambique,1,0,0,0,1,1,1,1,0
REGION2_MRT,Region 2 Mauritania,0,1,0,0,1,1,0,1,0
REGION2_MUS,Region 2 Mauritius,1,0,0,0,1,1,1,1,0
REGION2_NAM,Region 2 Namibia,1,0,0,0,1,1,1,1,0
REGION2_NER,Region 2 Niger,0,1,0,0,1,1,0,1,0
REGION2_NGA,Region 2 Nigeria,1,0,0,0,1,1,1,1,0
REGION2_NIC,Region 2 Nicaragua,1,0,0,0,1,1,1,1,0
REGION2_NLD,Region 2 Netherlands,0,1,0,0,0,,,,0
REGION2_NOR,Region 2 Norway,0,1,0,0,0,,,,0
REGION2_NPL,Region2 Nepal,1,0,0,0,0,,,,0
REGION2_NZL,Region 2 New Zealand,1,0,0,0,1,1,1,1,0
REGION2_PAK,Region 2 Pakistan,1,0,0,0,1,1,1,1,0
REGION2_PAN,Region 2 Panama,1,0,0,0,1,1,1,1,0
REGION2_PER,Region 2 Peru,1,0,0,0,1,1,1,1,0
REGION2_PHL,Region 2 Philippines,1,0,0,0,1,1,1,1,0
REGION2_POL,Region 2 Poland,0,1,0,0,0,,,,0
REGION2_PRT,Region 2 Portugal,1,0,0,0,1,1,1,1,0
REGION2_PRY,Region 2 Paraguay,1,0,0,0,1,1,1,1,0
REGION2_PSE,Region 2 Palestine,0,1,0,0,1,1,0,1,0
REGION2_ROU,Region Romania,1,0,0,0,1,1,1,1,0
REGION2_RWA,Region 2 Rwanda,0,1,0,0,0,,,,0
REGION2_SAU,Region 2 Saudi Arabia,1,0,0,0,1,1,1,1,0
REGION2_SEN,Region 2 Senegal,1,0,0,0,1,1,1,1,0
REGION2_SLE,Region2 Sierra Leone,1,0,0,0,0,,,,0
REGION2_SLV,Region 2 El Salvador,0,1,0,0,1,1,1,1,0
REGION2_SRB,Region 2 Serbia,1,0,0,0,1,1,1,1,0
REGION2_SVK,Region 2 Slovakia,1,0,0,0,1,1,1,1,0
REGION2_SWE,Region 2 Sweden,1,0,0,0,1,1,1,1,0
REGION2_TCD,Region 2 Chad,0,1,0,0,1,1,0,1,0
REGION2_THA,Region 2 Thailand,1,0,0,0,1,1,1,1,0
REGION2_TJK,Region 2 Tajikistan,1,0,0,0,1,1,1,1,0
REGION2_TKM,Region 2 Turkmenistan,0,1,0,0,0,,,,0
REGION2_TOG,Region 2 Togo,1,0,0,0,1,1,1,1,0
REGION2_TUN,Region 2 Tunisia,1,0,0,0,1,1,1,1,0
REGION2_TUR,Region 2 Turkey,1,0,0,0,1,1,1,1,0
REGION2_TZA,Region 2 Tanzania,1,0,0,0,1,1,1,1,0
REGION2_UGA,Region 2 Uganda,1,0,0,0,1,1,1,1,0
REGION2_UKR,Region 2 Ukraine,1,0,0,0,1,1,1,1,0
REGION2_URY,Region 2 Uruguay,1,0,0,0,1,1,1,1,0
REGION2_USA,Region 2 USA,1,0,0,0,1,1,1,1,0
REGION2_UZB,Region 2 Uzbekistan,1,0,0,0,1,1,1,1,0
REGION2_VEN,Region 2 Venezuela,1,0,0,0,1,1,1,1,0
REGION2_VNM,Region 2 Vietnam,1,0,0,0,1,1,1,1,0
REGION2_YEM,Region 2 Yemen,0,1,0,0,1,1,0,1,0
REGION2_ZMB,Region 2 Zambia,1,0,0,0,1,1,1,1,0
REGION3_AZE,Region 3 Azerbaijan,0,1,0,0,0,,,,0
REGION3_BHR,Region3 Bahrain,0,1,0,0,1,1,0,1,0
REGION3_CIV,Region 3 Ivory Coast,0,1,0,0,1,1,1,1,0
REGION3_FRA,Region 3 France,1,0,0,0,1,1,1,1,0
REGION3_GHA,Region 3 Ghana,1,0,0,0,1,0,1,1,0
REGION3_JMC,Region 3 Jamaica,0,1,0,0,0,,,,0
REGION3_MAR,Region 3 Morocco,1,0,0,0,1,1,1,1,0
REGION3_NOR,Region 3 Norway,1,0,0,0,1,0,1,1,0
REGION3_POL,Region 3 Poland,1,0,0,0,1,1,1,1,0
REGION3_RUS,Region 3 Russia,1,0,0,0,1,1,2,1,0
REGION3_TUR,Region 3 Turkey,0,1,0,0,1,1,1,1,0
REGION3_TZA,Region 3 Tanzania,0,1,0,0,1,1,1,1,0
REGION4_JMC,Region 4 Jamaica,1,0,0,0,0,,,,0
REGION4_NOR,Region 4 Norway,0,1,0,0,1,0,1,1,0
REGION_AFG,Region Afghanistan,0,1,0,0,1,1,1,1,0
REGION_ALB,Region Albania,0,1,0,0,1,1,1,1,0
REGION_ARE,Region United Arab Emirates,1,0,0,0,1,1,1,1,0
REGION_ARG,Region Argentina,0,1,0,0,1,1,1,1,0
REGION_ARM,Region Armenia,0,1,0,0,1,1,1,1,0
REGION_AUS,Region Australia,1,0,0,0,1,1,1,1,0
REGION_AUT,Region Austria,1,0,0,0,1,1,1,1,0
REGION_BEL,Region Belgium,1,0,0,0,1,1,1,1,0
REGION_BEN,Region Benin,0,1,0,0,0,,,,0
REGION_BFA,Region Burkina Faso,0,1,0,0,1,1,1,1,0
REGION_BGD,Region Bangladesh,1,0,0,0,1,1,1,1,0
REGION_BGR,Region Bulgaria,0,1,0,0,1,1,1,1,0
REGION_BIH,Region Bosnia and Herzegovina,0,1,0,0,1,1,1,1,0
REGION_BLR,Region Belarus,0,1,0,0,0,,,,0
REGION_BOL,Region Bolivia,0,1,0,0,1,1,1,1,0
REGION_BRA,Region Brazil,0,1,0,0,1,1,1,1,0
REGION_BWA,Region Botswana,0,1,0,0,0,,,,0
REGION_CAM,Region Cameroon,0,1,0,0,1,1,1,1,0
REGION_CAN,Region Canada,0,1,0,0,1,1,1,1,0
REGION_CHE,Region Switzerland,1,0,0,0,1,1,1,1,0
REGION_CHL,Region Chile,1,0,0,0,1,1,1,1,0
REGION_CHN,Region China,1,0,0,0,1,2,3,2,0
REGION_COG,Region Congo Brazzaville,1,0,0,0,1,1,1,1,0
REGION_COL,Region Colombia,0,1,0,0,1,1,1,1,0
REGION_CRI,Region Costa Rica,1,0,0,0,1,1,1,1,0
REGION_CYP,Region Cyprus,1,0,0,0,1,1,1,1,0
REGION_CZE,Region Czech Republic,0,1,0,0,1,0,1,1,0
REGION_DEU,Region Germany,1,0,0,0,1,1,1,1,0
REGION_DOM,Region Dominican Republic,0,1,0,0,1,1,1,1,0
REGION_DZA,Region Algeria,0,1,0,0,1,1,1,1,0
REGION_ECU,Region Ecuador,0,1,0,0,1,1,1,1,0
REGION_EGY,Region Egypt,0,1,0,0,1,1,1,1,0
REGION_ESP,Region Spain,0,1,0,0,1,1,1,1,0
REGION_EST,Region Estonia,0,1,0,0,1,1,1,1,0
REGION_ETH,Region Ethiopia,0,1,0,0,1,1,0,1,0
REGION_FIN,Region Finland,1,0,0,0,1,1,1,1,0
REGION_GAB,Region Gabon,1,0,0,0,1,1,1,1,0
REGION_GBR,Region United Kingdom,1,0,0,0,1,1,1,1,0
REGION_GEO,Region Georgia,1,0,0,0,1,1,1,1,0
REGION_GHA,Region Ghana,0,1,0,0,1,1,1,1,0
REGION_GMB,Region Gambia,0,1,0,0,1,1,0,1,0
REGION_GRC,Region Greece,1,0,0,0,1,1,1,1,0
REGION_GTM,Region Guatemala,0,1,0,0,1,1,0,1,0
REGION_GUI,Region Guinea,0,1,0,0,1,1,1,1,0
REGION_HKG,Region Hong Kong,1,0,0,0,1,1,1,1,0
REGION_HND,Region Honduras,0,1,0,0,1,1,1,1,0
REGION_HRV,Region Croatia,0,1,0,0,1,1,1,1,0
REGION_HUN,Region Hungary,0,1,0,0,1,1,1,1,0
REGION_ICL,Region Iceland,1,0,0,0,1,0,0,0,0
REGION_IDN,Region Indonesia,0,1,0,0,1,1,1,1,0
REGION_IND,Region India,0,1,0,0,1,2,2,2,0
REGION_IRL,Region Ireland,0,1,0,0,1,1,1,1,0
REGION_IRN,Region Iran,0,1,0,0,1,1,1,1,0
REGION_IRQ,Region Iraq,1,0,0,0,1,1,1,1,0
REGION_ISR,Region Israel,1,0,0,0,1,1,1,1,0
REGION_ITA,Region Italy,0,1,0,0,1,1,1,1,0
